description,label
Telegram job group asking joining fee,1
Submit documents after offer letter verification,0
Official offer letter attached,0
Please complete online assessment,0
Campus recruitment drive announced,0
LinkedIn recruiter asking registration fee,1
Selection process includes multiple rounds,0
Guaranteed placement after payment,1
Interview scheduled next week,0
Pay consultancy fee for interview slot,1
Attend technical interview at Infosys Hyderabad,0
LinkedIn job offer without interview,1
Recruitment process includes aptitude test,0
Interview invitation from company HR,0
Telegram HR asking Aadhaar and money,1
Company onboarding starts Monday,0
Official offer letter attached,0
Submit PAN card and training fee,1
Interview scheduled next week,0
"Congratulations, you cleared the technical interview",0
LinkedIn recruiter asking registration fee,1
Guaranteed job after registration payment,1
Work from home and earn huge income instantly,1
Selection process includes multiple rounds,0
"Congratulations, you cleared the technical interview",0
LinkedIn job offer without interview,1
Official offer letter attached,0
Please attend virtual interview meeting,0
Please attend virtual interview meeting,0
Official offer letter attached,0
Immediate Dubai placement after registration fee,1
Telegram recruiter requests UPI payment,1
Guaranteed placement after payment,1
Official offer letter attached,0
Campus recruitment drive announced,0
Recruiter asking bank details immediately,1
Earn ₹50000 per month without experience,1
Interview invitation from company HR,0
Earn ₹50000 per month without experience,1
LinkedIn recruiter asking registration fee,1
Direct selection. Pay onboarding charges,1
Please attend virtual interview meeting,0
Guaranteed job after registration payment,1
Interview invitation from company HR,0
Interview scheduled next week,0
Attend technical interview at Infosys Hyderabad,0
Interview scheduled next week,0
Interview scheduled next week,0
Please attend virtual interview meeting,0
Pay security deposit before joining,1
Technical round cleared successfully,0
Selection process includes multiple rounds,0
Please complete online assessment,0
Selection process includes multiple rounds,0
Work abroad package available after deposit,1
Official offer letter attached,0
Premium job access after payment,1
Interview invitation from company HR,0
HR discussion scheduled tomorrow,0
Interview invitation from company HR,0
Recruiter asking bank details immediately,1
Direct selection. Pay onboarding charges,1
Work from home and earn huge income instantly,1
Pay visa processing fee before interview,1
Attend technical interview at Infosys Hyderabad,0
Guaranteed job after registration payment,1
Limited seats available. Pay now,1
Interview scheduled next week,0
Telegram HR asking Aadhaar and money,1
Premium job access after payment,1
Earn ₹50000 per month without experience,1
Urgent hiring. Pay verification fee now,1
Company onboarding starts Monday,0
WhatsApp us for instant joining,1
HR discussion scheduled tomorrow,0
LinkedIn job offer without interview,1
Interview invitation from company HR,0
Join Telegram premium jobs by paying fee,1
Attend technical interview at Infosys Hyderabad,0
Recruiter asking bank details immediately,1
HR discussion scheduled tomorrow,0
Urgent hiring. Pay verification fee now,1
Please complete online assessment,0
Interview scheduled next week,0
Campus recruitment drive announced,0
Send Aadhaar card and processing fee for job confirmation,1
Interview invitation from company HR,0
Please complete online assessment,0
Join Telegram premium jobs by paying fee,1
Complete coding assessment round,0
WhatsApp us for instant joining,1
Official offer letter attached,0
Send documents and joining fee immediately,1
Earn ₹50000 per month without experience,1
Guaranteed placement after payment,1
Submit documents after offer letter verification,0
Fake recruiter requesting payment,1
Submit documents after offer letter verification,0
Direct selection. Pay onboarding charges,1
HR discussion scheduled tomorrow,0
Pay ₹5000 registration fee and get guaranteed internship,1
Attend technical interview at Infosys Hyderabad,0
Submit PAN card and training fee,1
Guaranteed job after registration payment,1
Foreign job offer requesting advance payment,1
HR discussion scheduled tomorrow,0
Recruitment process includes aptitude test,0
Foreign job offer requesting advance payment,1
Company onboarding starts Monday,0
Send documents and joining fee immediately,1
Technical round cleared successfully,0
Technical round cleared successfully,0
Submit PAN card and training fee,1
Pay consultancy fee for interview slot,1
"Congratulations, you cleared the technical interview",0
Attend technical interview at Infosys Hyderabad,0
Company onboarding starts Monday,0
Campus recruitment drive announced,0
Work abroad package available after deposit,1
Work from home and earn huge income instantly,1
Please attend virtual interview meeting,0
Complete coding assessment round,0
Interview scheduled next week,0
Recruitment process includes aptitude test,0
Pay consultancy fee for interview slot,1
Limited seats available. Pay now,1
Foreign job offer requesting advance payment,1
